Ref,Val,Package,PosX,PosY,Rot,Side
"C33","1u","C_0805_2012Metric",153.400000,-109.500000,0.000000,top
"C34","100n","C_0805_2012Metric",149.050000,-115.250000,-90.000000,top
"C35","1u","C_0805_2012Metric",150.950000,-115.500000,-90.000000,top
"D49","LED0603_BL","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",105.000000,-112.000000,-90.000000,top
"D50","WS2812B-2020","LED_WS2812B-2020",195.000000,-159.800000,180.000000,top
"D51","WS2812B-2020","LED_WS2812B-2020",195.000000,-157.300000,180.000000,top
"D52","WS2812B-2020","LED_WS2812B-2020",195.000000,-154.800000,180.000000,top
"D53","WS2812B-2020","LED_WS2812B-2020",195.000000,-152.300000,180.000000,top
"D54","WS2812B-2020","LED_WS2812B-2020",195.000000,-149.800000,180.000000,top
"D55","WS2812B-2020","LED_WS2812B-2020",195.000000,-147.300000,180.000000,top
"D56","WS2812B-2020","LED_WS2812B-2020",195.000000,-144.800000,180.000000,top
"D57","WS2812B-2020","LED_WS2812B-2020",195.000000,-142.300000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",150.000000,-102.750000,180.000000,top
"J2","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Horizontal",133.000000,-105.750000,90.000000,top
"LS1","Speaker_Crystal","UGCT7525AN4",120.000000,-105.000000,0.000000,top
"REF01","LRTMAX-LOGO","LrTMAX-LOGO",144.000000,-192.500000,0.000000,top
"SW1","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",117.500000,-187.500000,90.000000,top
"SW2","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",137.500000,-187.500000,90.000000,top
"SW3","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",157.500000,-187.500000,90.000000,top
"SW4","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",177.500000,-187.500000,90.000000,top
"SW5","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",117.500000,-167.500000,90.000000,top
"SW6","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",137.500000,-167.500000,90.000000,top
"SW7","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",157.500000,-167.500000,90.000000,top
"SW8","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",177.500000,-167.500000,90.000000,top
"SW9","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",117.500000,-147.500000,90.000000,top
"SW10","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",137.500000,-147.500000,90.000000,top
"SW11","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",157.500000,-147.500000,90.000000,top
"SW12","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",177.500000,-147.500000,90.000000,top
"SW13","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",117.500000,-127.500000,90.000000,top
"SW14","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",137.500000,-127.500000,90.000000,top
"SW15","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",157.500000,-127.500000,90.000000,top
"SW16","EC11_SMD","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",177.500000,-127.500000,90.000000,top
"SW17","SW_Push","SKHLLAA010",102.500000,-170.000000,-90.000000,top
"SW18","SW_Push","SKHLLAA010",197.500000,-120.000000,90.000000,top
"SW20","SW_SPST","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile",190.000000,-102.500000,180.000000,top
"U2","SPX3819M5-L3-3TR","SOT-23-5",150.000000,-111.500000,-90.000000,top
